DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/arrays/arrow/__init__.py first seen with mtime 1688741984.9024484
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/groupby/ops.py first seen with mtime 1688741984.965071
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/reshape/melt.py first seen with mtime 1688741985.0536559
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/template/exceptions.py first seen with mtime 1698832925.8087034
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/db/models/signals.py first seen with mtime 1698832925.7367027
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/httpcore/_async/__init__.py first seen with mtime 1696600633.3926952
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/sniffio/_impl.py first seen with mtime 1662051357.0
DEBUG 2023-11-05 09:46:05,383 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/six.py first seen with mtime 1620240337.0
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/dateutil/relativedelta.py first seen with mtime 1626286447.0
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/exceptiongroup/__init__.py first seen with mtime 1692026295.6148388
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/template/loaders/filesystem.py first seen with mtime 1698832925.8167033
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/numpy/core/_multiarray_tests.cpython-38-darwin.so first seen with mtime 1687809081.31599
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/dns/_ddr.py first seen with mtime 1697529879.1374834
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/mysql/connector/utils.py first seen with mtime 1686439380.526964
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/rest_framework/fields.py first seen with mtime 1663854284.0
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/threading.py first seen with mtime 1696953083.1630888
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/asgiref/__init__.py first seen with mtime 1685243636.0953665
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/core/checks/templates.py first seen with mtime 1698832925.6567018
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/urllib3/exceptions.py first seen with mtime 1697720584.850536
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/numpy/lib/twodim_base.py first seen with mtime 1687809059.962709
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1698832925.6487017
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/fnmatch.py first seen with mtime 1696953082.8603287
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/sqlparse/__init__.py first seen with mtime 1681817740.5884488
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/lib-dynload/_struct.cpython-38-darwin.so first seen with mtime 1696953136.871146
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/ctypes/_endian.py first seen with mtime 1696953090.4456694
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/httpcore/_ssl.py first seen with mtime 1696600633.3926952
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/logging/handlers.py first seen with mtime 1696953089.7075186
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/anyio/_core/_streams.py first seen with mtime 1693488729.453711
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/core/array_algos/masked_accumulations.py first seen with mtime 1688741984.8608916
DEBUG 2023-11-05 09:46:05,384 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/_brotli.cpython-38-darwin.so first seen with mtime 1695990964.5263348
